SR,Name,IMAGE ,OLD SKU,NEW SKU,L,W,H,L,W,H,L,W,H,ASSEMBLY ,COLORE ,WARRANTY ,Wood Finish,SECOUNDERY MATRIAL ,Subcategory,Category,Price,AMAZON & FLIPKART PRICE 
22,Acro Solidwood Sheesham Display Unit   in Honey Oak Finish by Rajwada ,,FM1744333,RJ230461,12,12,57,,,,,,,NA,HONEY OAK ,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 7,199","? 7,775"
23,Acro SolidWood Sheesham Display Unit   in Provincial teak Finish by Rajwada,,FM1598743,RJ230459,12,12,57,,,,,,,NA,PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 7,199","? 7,775"
24,Acro SolidWood Sheesham Display Unit   in Warm Chesnut Finish by Rajwada,,FM1598703,RJ230460,12,12,57,,,,,,,NA,WARM CHESNUT ,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 7,199","? 7,775"
25,Acro SolidWood Sheesham Display Unit  in Natural Teak Finish by Rajwada,,FM1744769,RJ230462,12,12,57,,,,,,,NA,RUSTIC TEAK,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 7,199","? 7,775"
26,Acro SolidWood Sheesham Book Shelf  in Provincial teak Finish by Rajwada,,FM1598750,RJ230494,27,14,69,,,,,,,NA,PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 23,999","? 25,919"
27,Acro SolidWood Sheesham Book Shelf  in Warm Chesnut Finish by Rajwada,,FM1598710,RJ230495,27,14,69,,,,,,,NA,WARM CHESNUT ,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 23,999","? 25,919"
28,Acro Solidwood Sheesham Book Shelf  in Honey Oak Finish by Rajwada ,,FM1744331,RJ230498,34,10,22,,,,,,,NA,HONEY OAK ,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 6,499","? 7,019"
29,Acro SolidWood Sheesham Book Shelf  in Provincial teak Finish by Rajwada,,FM1598751,RJ230496,34,10,22,,,,,,,NA,PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 6,499","? 7,019"
30,Acro SolidWood Sheesham Book Shelf  in Warm Chesnut Finish by Rajwada,,FM1598711,RJ230497,34,10,22,,,,,,,NA,WARM CHESNUT ,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 6,499","? 7,019"
31,Acro SolidWood Sheesham Book Shelf  in Natural Teak Finish by Rajwada,,FM1744770,RJ230499,34,10,22,,,,,,,NA,RUSTIC TEAK,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 6,499","? 7,019"
32,Acro SolidWood Sheesham Book Shelf with Folding Study  in Provincial teak Finish by Rajwada,,FM1598752,RJ230500,27,14,68,,,,,,,NA,PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 20,999","? 22,679"
33,Acro SolidWood Sheesham Book Shelf with Folding Study  in Warm Chesnut Finish by Rajwada,,FM1598712,RJ230501,27,14,68,,,,,,,NA,WARM CHESNUT ,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 20,999","? 22,679"
34,Acro Solidwood Sheesham Book Shelf with Folding Study Table   in Honey Oak Finish by Rajwada ,,FM1744334,RJ230502,27,14,68,,,,,,,NA,HONEY OAK ,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 20,999","? 22,679"
35,Acro SolidWood Sheesham Book Shelf with Folding Study Table  in Natural Teak Finish by Rajwada,,FM1744771,RJ230503,27,14,68,,,,,,,NA,RUSTIC TEAK,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 20,999","? 22,679"
