SR,Name,IMAGE ,OLD SKU ,NEW SKU,L,W,H,L,W,H,L,W,H,ASSEMBLY ,COLORE ,WARRANTY ,Wood Finish ,PREMRI MATERIAL ,Subcategory,Category,Price,AMAZON & FLIPKART PRICE 
20,"Anamika Sheesham Wood Queen Size Bed In Provincial Teak Finish by Rajwada 
",,FM2124754,RF331473,63,83,35,,,,,,,YES (DO IT YOURSELF),PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,MDF,queen size bed without storage ,BEDROOM ,"? 23,699","? 25,595"
21,Acro Solidwood Sheesham Queen  Bed in Honey Oak Finish by Rajwada ,,FM1744270,RJ230405,62,84,29,,,,,,,YES (DO IT YOURSELF),HONEY OAK ,5 YEAR ,SHEESHAM WOOD ,MDF,queen size bed without storage ,BEDROOM ,"? 21,599","? 23,327"
22,Acro SolidWood Sheesham Queen Bed  in Natural Teak Finish by Rajwada,,FM1744712,RJ230406,62,84,29,,,,,,,YES (DO IT YOURSELF),RUSTIC TEAK,5 YEAR ,SHEESHAM WOOD ,MDF,queen size bed without storage ,BEDROOM ,"? 21,599","? 23,327"
23,Acro SolidWood Sheesham Queen Bed  in Provincial teak Finish by Rajwada,,FM1664008,RJ230403,62,84,29,,,,,,,YES (DO IT YOURSELF),PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,MDF,queen size bed without storage ,BEDROOM ,"? 21,599","? 23,327"
24,Acro SolidWood Sheesham Queen Bed  in Warm Chesnut Finish by Rajwada,,FM1668278,RJ230404,62,84,29,,,,,,,YES (DO IT YOURSELF),WARM CHESNUT ,5 YEAR ,SHEESHAM WOOD ,MDF,queen size bed without storage ,BEDROOM ,"? 21,599","? 23,327"
25,Deventi Traditional Solid Wood Queen Bed In Honey Oak Finish  By Rajwada,,FM1844858,RJ80599,64,82,35,,,,,,,YES (DO IT YOURSELF),HONEY OAK ,5 YEAR ,SHEESHAM WOOD ,MDF,queen size bed without storage ,BEDROOM ,"? 25,199","? 27,215"
26,Kim Solid Wood Sheesham  Queen  Bed  in Provincial Teak Finish by Rajwada,,FM1748079,RJ74313,62,84,29,,,,,,,YES (DO IT YOURSELF),PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,MDF,queen size bed without storage ,BEDROOM ,"? 20,799","? 22,463"
27,KUBER  SOLIDWOOD SHEESHAM QUEEN SIZE BED IN PROVINCIAL TEAK FINISH BY RAJWADA ,,BD20201001-5,RJ820978,64,85,41,,,,,,,YES (DO IT YOURSELF),PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,MDF,queen size bed without storage ,BEDROOM ,"? 23,999","? 25,919"
28,Niware  Solidwood sheesham  Queen Size Bed in Provincial Teak Finish by Rajwada,,FM1680277,RJ9486,62,84,39,,,,,,,YES (DO IT YOURSELF),PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,MDF,queen size bed without storage ,BEDROOM ,"? 24,399","? 26,351"
29,Saffron Traditional Solid wood  Queen Bed in Honey Oak Finish by Rajwada,,FM1602154,RJ268440,62,84,35,,,,,,,YES (DO IT YOURSELF),HONEY OAK ,5 YEAR ,SHEESHAM WOOD ,IRON ,queen size bed without storage ,BEDROOM ,"? 23,999","? 25,919"
